code,label
03CH0Z6,RCCA bifurcation endarterectomy
03CH0ZZ,RCCA endarterectomy
03CJ0Z6,LCCA bifurcation endarterectomy
03CJ0ZZ,LCCA endarterectomy
03CK0Z6,RICA bifurcation endarterectomy
03CK0ZZ,RICA endarterectomy
03CL0Z6,LICA bifurcation endarterectomy
03CL0ZZ,LICA endarterectomy
